"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_id"
"ENSG00000001617",225.365481317492,-0.20635087055403,0.205118168035949,-1.00600971883615,0.314410894957519,0.643138943417613,"SEMA3F"
"ENSG00000001626",2.57605241474257,-0.283965907968903,0.271367932593577,-1.04642396489122,0.295365333042661,NA,"CFTR"
"ENSG00000001629",351.268509253491,0.147726423388575,0.08548001345395,1.72819841059289,0.0839526586024672,0.359579778910925,"ANKIB1"
"ENSG00000001630",12.0363310418734,0.0937982278757803,0.229385105558529,0.408911588428513,0.682604544371363,0.877150943304538,"CYP51A1"
"ENSG00000001631",235.879266545371,0.103155518369958,0.0710113308724104,1.45266279483345,0.146317401779417,0.459440016844618,"KRIT1"
"ENSG00000002016",79.9614217881335,0.234647032766444,0.100104029007303,2.34403185459524,0.0190765420415746,0.17253813306971,"RAD52"
"ENSG00000002330",178.058980404611,0.0268046767558893,0.0843003857495423,0.317966240813255,0.750510544904011,0.906364365351189,"BAD"
"ENSG00000002549",513.908917902225,0.0197199145051143,0.128302278633805,0.153698864237618,0.877847180348333,0.956057032104701,"LAP3"
"ENSG00000002586",1296.66395009182,-0.0715086134432208,0.0938429349299573,-0.762003165146034,0.44605811509014,0.742902613802397,"CD99"
"ENSG00000002587",13.6029139010847,-0.492791855912518,0.223311040293147,-2.2067509750777,0.0273314618084135,0.208774331165053,"HS3ST1"
"ENSG00000002726",1.28194595168085,-0.0202346002388409,0.259782117080109,-0.0778906587808012,0.937915030049418,NA,"AOC1"
"ENSG00000002745",0.567722665673997,-0.485744891290474,0.210422757170715,-2.30842375521385,0.0209755790054058,NA,"WNT16"
"ENSG00000002746",4.13963174102102,0.206094325567427,0.263002120119566,0.783622297317344,0.433261768387901,NA,"HECW1"
"ENSG00000002822",97.1136802096683,0.0304958567588602,0.0999862939766953,0.305000371010532,0.760365869749604,0.91094917163236,"MAD1L1"
"ENSG00000002834",1533.29501204104,-0.0972296453218367,0.0573641771052778,-1.6949540676474,0.0900841345543307,0.371696041089285,"LASP1"
"ENSG00000002919",125.398220625542,0.134853028396085,0.0868599859236095,1.55253338993958,0.120534649751017,0.422576923037096,"SNX11"
"ENSG00000002933",138.452950089321,-0.494139216200727,0.214939900744889,-2.29896456864572,0.0215069513452749,0.183543963455725,"TMEM176A"
"ENSG00000003056",542.911322252144,-0.180134605908219,0.108624250735207,-1.65832771861721,0.0972513371764778,0.387298186555359,"M6PR"
"ENSG00000003096",18.6171476582874,-0.161701580460568,0.218228996089389,-0.740972021858786,0.458710404461665,0.751289378598507,"KLHL13"
"ENSG00000003137",362.285656240801,-0.317202814948653,0.183417098602132,-1.72940700385153,0.0837362773879292,0.359224143650959,"CYP26B1"
"ENSG00000003147",149.925650841748,0.14741670039589,0.186839687550131,0.789001000423616,0.43011142181651,0.732200684563073,"ICA1"
"ENSG00000003249",14.5043491611879,-0.131839576480911,0.26727586448502,-0.493271537012651,0.621820736987514,0.849254194397993,"DBNDD1"
"ENSG00000003393",167.820321230525,-0.0332143817260967,0.068109377947928,-0.487662385515989,0.62578899889222,0.851257586301791,"ALS2"
"ENSG00000003400",182.883525446557,-0.0355424928914987,0.142320714921308,-0.249735204823492,0.802792131114339,0.92771937250432,"CASP10"
"ENSG00000003402",2063.34465857581,-0.0759204634971416,0.0900833024562432,-0.842780642217451,0.399351136230662,0.712888017752378,"CFLAR"
"ENSG00000003436",284.104275507372,-0.143700119521504,0.149480775486458,-0.961328432059962,0.336387056449482,0.660590328157555,"TFPI"
"ENSG00000003509",104.830991432778,0.181278906368585,0.0849719050383731,2.13339816597874,0.0328920773885346,0.229016346502677,"NDUFAF7"
"ENSG00000003756",1079.15714689191,0.0154175000634069,0.063128589714564,0.244223736552917,0.807057544455191,0.928985991584741,"RBM5"
"ENSG00000003987",10.8238243341365,-0.238654648909872,0.21182007860279,-1.12668567816653,0.259875399817939,0.592930597103886,"MTMR7"
"ENSG00000003989",288.832194916241,-0.0595267565213568,0.172728048914232,-0.34462704173145,0.730374773490143,0.899229852572312,"SLC7A2"
"ENSG00000004059",351.790804680242,0.0897194321297094,0.0714930232898894,1.25493968503634,0.209500656190267,0.537655153103679,"ARF5"
"ENSG00000004139",14.8987668447443,-0.230389744233588,0.190220402627327,-1.21117262423715,0.225829252323301,0.558611566586441,"SARM1"
"ENSG00000004142",25.0688191843811,0.24727093347994,0.159774903865792,1.54762060559675,0.121713667370076,0.424209825601449,"POLDIP2"
"ENSG00000004399",2012.29541211721,-0.0213413668165192,0.0701320426190166,-0.304302655669869,0.760897322106519,0.911083240078549,"PLXND1"
"ENSG00000004455",501.034093530194,0.187890646123931,0.102293960988651,1.83677163644858,0.0662436147682199,0.31862476474382,"AK2"
"ENSG00000004468",40.7179563635717,0.20853882281262,0.268065737023625,0.777939117203333,0.436604906167217,0.736804609812566,"CD38"
