Name	Description	sample12101	sample12104	sample12105	sample12109	sample12110	sample12112	sample12115	sample12119	sample12120	sample12121	sample12127	sample12100	sample12102	sample12103	sample12107	sample12108	sample12111	sample12113
RP11-114N19.3	ENSG00000258999	4.713295195	4.498638859	5.163194188	4.448094429	11.0248832	1.925519018	1.126211812	3.600306175	6.488492941	4.204687499	5.267828785	5.971339511	20.9997244	77.73729461	123.4160309	155.167457	25.92219961	84.30826864
IGFBP3	ENSG00000146674	767.3244578	1007.695104	1370.311737	1171.628073	665.9029453	1200.561108	1470.832626	1861.358293	1402.441403	890.5528123	874.4595784	1927.036565	2779.599884	4619.970606	3656.870654	3347.311847	1460.005178	1596.955461
CDKN2B	ENSG00000147883	495.8386545	771.5165643	628.877052	716.143203	535.8093236	590.1715791	761.3191847	747.9636079	654.4108595	618.0890623	720.1874496	684.1448983	320.7230636	322.8257096	375.614007	200.9104646	592.865791	256.8461207
TMC3	ENSG00000188869	2.827977117	6.747958289	4.13055535	4.448094429	7.717418241	1.925519018	5.631059058	0.900076544	5.561565378	3.363749999	2.257640908	6.824388013	12.40892805	14.03590042	28.17105053	10.7630606	10.03439985	11.76394446
LINC00263	ENSG00000235823	16.9678627	21.36853458	15.48958256	16.01313994	30.86967296	25.99450675	21.39802442	11.70099507	20.39240639	15.9778125	35.36970756	24.73840655	45.81758051	58.30297096	79.14723719	109.4244494	30.93939953	69.60333806
SCP2	ENSG00000116171	849.3357942	755.7713283	872.5798177	769.5203362	917.2702823	1038.81751	1004.580936	863.1734055	648.8492941	819.9140623	756.3097042	866.6972777	1096.758333	1724.256382	1574.895872	1557.0561	1031.870784	1342.069997
RP11-420A23.1	ENSG00000251432	110.2911076	115.8399506	97.06805073	105.8646474	69.45676417	44.28693742	110.3687575	99.90849636	125.135221	88.29843748	140.7262833	57.15424961	58.22650856	82.0560332	55.00062246	48.43377271	42.64619936	67.64268065
RP11-511B23.2	ENSG00000257322	15.08254462	12.37125686	25.81597094	20.46123437	34.17713792	20.21794969	29.2815071	10.80091853	22.24626151	8.409374998	15.80348636	35.82803707	34.36318538	55.06391702	29.51252912	47.53685099	30.10319955	32.35084727
HSD11B1	ENSG00000117594	228.1234874	497.0995939	287.0735968	215.2877704	78.27667073	85.68559632	256.7762931	572.4486819	632.164598	225.3712499	456.0434634	118.5737417	45.81758051	43.18738589	42.92731509	25.11380807	219.9205967	35.29183338
SERPINI1	ENSG00000163536	51.84624715	44.98638859	45.43610885	49.8186576	52.91943936	66.43040613	48.4271079	33.30283212	39.85788521	57.18374999	53.43083482	79.33351065	89.72609516	95.01224897	152.92856	133.6413358	45.15479932	99.99352792
