"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_id"
"ENSG00000138757",436.412577394284,0.0935167820376217,0.0781019221342076,1.19736850876635,0.231162952390674,0.558077436605248,"G3BP2"
"ENSG00000138758",1437.13862776848,0.152125402272068,0.111356418247603,1.36611256599341,0.171903634769278,0.486820408629794,"SEPT11"
"ENSG00000138759",9.89653210008102,0.0714629448075157,0.279100268727827,0.256047567181689,0.797914107911296,0.925868673288718,"FRAS1"
"ENSG00000138760",1449.52550593952,0.00654282975789999,0.078183185192016,0.0836858941194448,0.933306172662646,0.97635174037455,"SCARB2"
"ENSG00000138764",536.991983886067,0.485960798520492,0.166851010973685,2.91254332643592,0.00358498463377368,0.0698712067010052,"CCNG2"
"ENSG00000138767",206.637798173178,0.100645598319147,0.0820793339565835,1.22619901341286,0.220123792482238,0.54543278908796,"CNOT6L"
"ENSG00000138768",578.813572646075,0.135689020997955,0.0712582558696748,1.90418667061006,0.0568858770810677,0.29125996811316,"USO1"
"ENSG00000138769",0.48728649620085,0.115879270874999,0.391953014733968,0.295645821103457,0.767500576822093,NA,"CDKL2"
"ENSG00000138771",15.6583593135583,0.0628913057784449,0.388438704501013,0.161907927942543,0.871378359600824,0.952985150253822,"SHROOM3"
"ENSG00000138772",201.910831352069,-0.337127177159312,0.272589875392483,-1.2367560485286,0.216177663615312,0.540819322742973,"ANXA3"
"ENSG00000138777",165.231709462719,0.152381210918961,0.0907938400558252,1.67832102734358,0.093284445260181,0.371021579646103,"PPA2"
"ENSG00000138778",10.1624388619223,0.196122767545812,0.292306813030236,0.670948328274256,0.502253447414246,0.777235217907476,"CENPE"
"ENSG00000138780",42.4232608313163,0.179186713180785,0.131611835357905,1.36147872031042,0.173362453854966,0.488426596376617,"GSTCD"
"ENSG00000138785",79.3365210911344,0.0228501436553387,0.121285061904532,0.188400313249829,0.850562854156243,0.943905779644436,"INTS12"
"ENSG00000138792",174.885383504479,0.521052849414735,0.217320053741377,2.39762893688042,0.0165015721746677,0.157535980422471,"ENPEP"
"ENSG00000138794",51.4540248200467,0.15090389253219,0.148239574976989,1.01797305176849,0.30869076289934,0.631387001419777,"CASP6"
"ENSG00000138795",7.20923732603303,-0.197576804204155,0.326330623817369,-0.605449779407552,0.544880183891215,NA,"LEF1"
"ENSG00000138796",1109.25697494463,0.20286419741432,0.202697596001816,1.00082192100839,0.316912909683426,0.639421405736652,"HADH"
"ENSG00000138798",0.306261157190259,0.395819407078845,0.302073720047713,1.31034042622551,0.190080697281315,NA,"EGF"
"ENSG00000138801",250.685691416124,0.299521402529428,0.134032528940635,2.2346918684351,0.0254375848285185,0.196796198905903,"PAPSS1"
"ENSG00000138802",271.86030925097,0.127708678449857,0.0740480598280784,1.72467285093446,0.0845864463723034,0.352930874839891,"SEC24B"
"ENSG00000138813",0.050157769769375,-0.0643432038651392,0.138175292562959,-0.46566359782319,0.641456312521328,NA,"C4orf17"
"ENSG00000138814",377.663407135954,0.196942091034492,0.101318380094489,1.94379431304394,0.0519202598381906,0.277321305533423,"PPP3CA"
"ENSG00000138821",76.1526648962938,-0.037408259414903,0.18425529552787,-0.203024066731611,0.839116221393261,0.940445717427156,"SLC39A8"
"ENSG00000138823",3.6851693427163,-0.242297817278431,0.367715002841358,-0.658928287957194,0.509941819705609,NA,"MTTP"
"ENSG00000138829",0.803035594049239,0.10593526732742,0.387375356379984,0.27346929943449,0.784492488707324,NA,"FBN2"
"ENSG00000138834",535.397087934932,-0.0101215323599591,0.0816372806001816,-0.123981743212752,0.901329730328276,0.964361860570597,"MAPK8IP3"
"ENSG00000138835",456.511111979681,0.739885933097343,0.245040960201016,3.0194377808934,0.00253244303485923,0.0551984415755982,"RGS3"
"ENSG00000138867",591.580715712282,0.171341766471605,0.12640715816775,1.35547518791795,0.175266208619009,0.491161206227334,"GUCD1"
"ENSG00000138892",0,NA,NA,NA,NA,NA,"TTLL8"
"ENSG00000138942",262.337801306515,0.130263744752987,0.0669251533756033,1.94640935706056,0.0516055865013609,0.277238459324495,"RNF185"
"ENSG00000138944",3.14369564966313,0.00585625371492646,0.392770184861968,0.0149101279593932,0.988103879878114,NA,"KIAA1644"
"ENSG00000138964",86.4805357665309,-0.517385425065462,0.314692726053204,-1.64409718506805,0.100156129331962,0.383650906983429,"PARVG"
"ENSG00000139044",1.9842960746906,-0.580105750875318,0.413937014786637,-1.40143483223971,0.161084082286841,NA,"B4GALNT3"
"ENSG00000139053",0.148419221700445,-0.0282274195610272,0.263129333842903,-0.107275837128368,0.914570153085931,NA,"PDE6H"
"ENSG00000139055",4.17999894559395,-0.374347546404301,0.351841484260418,-1.06396648249478,0.287343883605686,NA,"ERP27"
"ENSG00000139083",140.901512044087,-0.309539946853935,0.191142178315199,-1.61942251355687,0.105356386050922,0.392109510219354,"ETV6"
"ENSG00000139112",918.333066479902,0.0207744186159053,0.106534429598646,0.195001922797822,0.845391442343783,0.94190493733192,"GABARAPL1"
"ENSG00000139116",83.2554892559139,0.508370392097201,0.154196403804387,3.29690174060166,0.000977576951312883,0.0310090983401085,"KIF21A"
"ENSG00000139117",111.858733514404,-0.109756773107798,0.151392559369278,-0.724981290791701,0.468463508271526,0.752674372299043,"CPNE8"
"ENSG00000139131",55.8708003754222,0.25160079125004,0.130413221707296,1.92925830645255,0.0536988029798318,0.282403027912581,"YARS2"
"ENSG00000139132",236.182563993924,-0.112223844110949,0.118220095062625,-0.949278919556782,0.342478772142738,0.660142584900897,"FGD4"
"ENSG00000139133",7.55440794207975,0.0364844879598274,0.282209257624846,0.12928168362332,0.897134764149915,NA,"ALG10"
"ENSG00000139144",0.554565472720846,0.547972544791763,0.395167292575885,1.38668496883895,0.165537846003434,NA,"PIK3C2G"
"ENSG00000139146",40.4464143723938,-0.352895627218457,0.21938669342029,-1.60855529438331,0.107713616275935,0.394655876182992,"FAM60A"
"ENSG00000139151",0.119636809526448,0.315036598714554,0.235924157364687,1.33532997313021,0.181768372812182,NA,"PLCZ1"
"ENSG00000139154",130.257703355671,-0.0554405681132882,0.11921966289433,-0.465028727370481,0.641910884411486,0.855996807467639,"AEBP2"
"ENSG00000139155",20.1551965213335,0.557351639883021,0.259572270711596,2.14719252697943,0.0317779574078862,0.221659795381675,"SLCO1C1"
