CHD_1	CHD_2	HFD_3	HFD_1	HFD_2	CHD_3
peak_32	55.8803208698231	55.3630398328345	74.1381285782163	77.8799371572784	88.1498705859297	81.9122609135861
peak_33	226.942527614179	193.344769877745	226.12129216356	210.675214617766	179.972652446273	211.386479776996
peak_34	137.990180107114	106.467384293913	101.322109056896	108.832219873633	116.308857023102	108.335570885711
peak_35	27.369953079097	31.5143457509981	35.8334288128046	33.9476649147111	35.5048089859995	29.7262237186401
peak_36	141.411424242001	178.013466539422	151.983163585343	174.730628237484	156.710881041653	99.7479951447701
peak_37	117.462715297791	144.795642639721	113.678463819932	179.722931901412	119.981768297515	123.528974119682
peak_38	7.9829029814033	10.2208688922156	33.3621578601973	35.9445863802823	33.0562014697236	11.890489487456
peak_39	23.9487089442099	21.2934768587825	21.0058030971613	22.9645968540693	13.467341339517	13.2116549860623
peak_40	5.70207355814521	4.2586953717565	19.7701676208577	15.9753717245699	33.0562014697236	8.58757574094047
peak_41	79.829029814033	60.4734742789423	50.6610545284478	51.9199581048523	42.8506315348269	57.4706991893709
peak_42	22.8082942325808	14.4795642639721	19.7701676208577	32.9492041819255	37.9534165022753	29.7262237186401
peak_43	165.360133186211	149.906077085829	142.098079774915	163.747560176842	151.813666009101	177.696759562538
peak_44	87.8119327954363	92.8395591042917	84.0232123886452	85.8676230195634	80.8040480371022	75.3064334205549
peak_45	9.12331769303234	5.1104344461078	43.2472416706262	33.9476649147111	64.8880991813093	3.30291374651557
peak_46	7.9829029814033	1.7034781487026	25.9483450023757	15.9753717245699	45.2992390511028	5.28466199442491
peak_47	19.3870500976937	10.2208688922156	44.4828771469298	22.9645968540693	28.158986437172	8.58757574094047
peak_48	12.5445618279195	6.8139125948104	39.5403352417154	19.9692146557124	26.9346826790341	3.30291374651557
peak_49	114.041471162904	122.650426706587	109.971557391021	109.830680606418	117.53316078124	112.299067381529
peak_50	45.6165884651617	43.4386927919163	59.3105028625731	42.9338115097817	42.8506315348269	43.5984614540055
peak_51	27.369953079097	18.7382596357286	29.6552514312865	26.9584397852118	50.1964540836544	19.1568997297903
peak_52	11.4041471162904	10.2208688922156	38.3046997654118	28.955361250783	45.2992390511028	11.890489487456
peak_53	39.9145149070165	31.5143457509981	34.597793336501	30.9522827163542	25.7103789208962	29.065640969337
peak_54	11.4041471162904	11.0726079665669	18.5345321445541	20.967675388498	24.4860751627582	9.9087412395467
peak_55	36.4932707721294	28.1073894535929	65.4886802440911	52.9184188376379	72.2339217301368	35.6714684623681
peak_56	401.425978493423	406.27953846557	324.972130267848	358.447403070038	328.11340718096	347.466526133438
peak_57	27.369953079097	11.0726079665669	21.0058030971613	21.9661361212837	12.2430375813791	11.2299067381529
peak_58	34.2124413488713	32.3660848253494	45.7185126232334	58.9091832343516	55.0936691162061	52.8466199442491
peak_59	62.7228091395973	50.2526053867267	55.6035964336622	57.910722501566	64.8880991813093	49.5437061977335
peak_60	29.6507825023551	16.1830424126747	34.597793336501	28.955361250783	46.5235428092407	19.8174824790934
peak_61	26.229538367468	23.8486940818364	43.2472416706262	36.943047113068	36.7291127441374	23.120396225609
peak_62	52.459076734936	46.8456490893215	67.9599511966983	54.9153403032091	44.0749352929648	52.186037194946
peak_63	13.6849765395485	11.9243470409182	27.1839804786793	8.98614659507058	18.3645563720687	16.5145687325778
peak_64	38.7741001953874	24.7004331561877	44.4828771469298	56.9122617687804	50.1964540836544	22.4598134763059
peak_65	361.511463586406	337.288673443115	270.60416931049	308.524366430757	239.963536595031	266.875430718458
peak_66	39.9145149070165	29.8108676022955	34.597793336501	42.9338115097817	42.8506315348269	33.6897202144588
peak_67	50.1782473116779	25.552172230539	21.0058030971613	41.9353507769961	41.626327776689	39.6349649581868
peak_68	12.5445618279195	2.5552172230539	27.1839804786793	26.9584397852118	35.5048089859995	9.24815849024359
peak_69	38.7741001953874	28.9591285279442	67.9599511966983	93.8553088818483	68.5610104557231	40.956130456793
peak_70	12.5445618279195	13.6278251896208	34.597793336501	27.9569005179974	57.5422766324819	13.8722377353654
peak_71	19.3870500976937	4.2586953717565	33.3621578601973	32.9492041819255	23.2617714046203	7.92699299163736
peak_72	12.5445618279195	10.2208688922156	18.5345321445541	15.9753717245699	19.5888601302066	16.5145687325778
peak_73	30.7911972139841	29.8108676022955	17.2988966682505	22.9645968540693	37.9534165022753	29.065640969337
peak_74	140.271009530372	113.281296888723	112.442828343628	114.822984270346	102.841515683585	94.4633331503452
peak_75	404.84722262831	447.163014034433	294.081243360258	323.501277422541	277.916953097306	330.291374651557
peak_76	21.6678795209518	17.8865205613773	32.1265223838937	20.967675388498	26.9346826790341	27.0838927214277
peak_77	39.9145149070165	40.0317364945111	58.0748673862695	51.9199581048523	71.0096179719989	42.9378787047024
peak_78	21.6678795209518	34.069562974052	25.9483450023757	21.9661361212837	29.3832901953099	22.4598134763059
peak_79	37.6336854837584	37.4765192714572	60.5461383388767	41.9353507769961	64.8880991813093	35.6714684623681
