"","ensembl_gene_id","hgnc_symbol"
"523","ENSG00000252615",""
"524","ENSG00000121089","NACA3P"
"525","ENSG00000206958",""
"526","ENSG00000222111","RN7SKP148"
"527","ENSG00000207168","SNORA15"
"528","ENSG00000266382","MIR5703"
"529","ENSG00000220987",""
"530","ENSG00000263407","MIR4660"
"531","ENSG00000241983","RN7SL566P"
"532","ENSG00000264675","MIR4285"
"533","ENSG00000265330",""
"534","ENSG00000252509","RNA5SP271"
"535","ENSG00000252143",""
"536","ENSG00000264218",""
"537","ENSG00000270831","NF1P1"
"538","ENSG00000252809",""
"539","ENSG00000265321","MIR4263"
"540","ENSG00000207075",""
"541","ENSG00000253015","RN7SKP64"
"542","ENSG00000265463",""
"543","ENSG00000201423","RN7SKP246"
"544","ENSG00000237666",""
"545","ENSG00000239128",""
"546","ENSG00000239008",""
"547","ENSG00000265110","MIR4731"
"548","ENSG00000263812","LINC00908"
"549","ENSG00000221040",""
"550","ENSG00000265280",""
"551","ENSG00000265013",""
"552","ENSG00000207712","MIR627"
"553","ENSG00000216125",""
"554","ENSG00000207205","RNVU1-15"
"555","ENSG00000197769","MAP1LC3C"
"556","ENSG00000212022",""
"557","ENSG00000265566","RN7SL605P"
"558","ENSG00000265137","MIR3192"
"559","ENSG00000212517",""
"560","ENSG00000266467","RN7SL220P"
"561","ENSG00000223299","RN7SKP108"
"562","ENSG00000272034","SNORD14A"
"563","ENSG00000236941",""
"564","ENSG00000211817","TRAV38-2DV8"
"565","ENSG00000200413","SNORD114-26"
"566","ENSG00000216109",""
"567","ENSG00000086300","SNX10"
"568","ENSG00000265846","MIR4276"
"569","ENSG00000212086",""
"570","ENSG00000201339",""
"571","ENSG00000206760","SNORA6"
"572","ENSG00000252166","RNU1-95P"
"573","ENSG00000212446","RNU6-131P"
"574","ENSG00000239932","RN7SL606P"
"575","ENSG00000201713","RNA5SP125"
"576","ENSG00000229613","LINC01501"
"577","ENSG00000212338",""
"578","ENSG00000207753","MIR452"
"579","ENSG00000202414",""
"580","ENSG00000238997",""
"581","ENSG00000207260","RNU6-35P"
"582","ENSG00000251726","RNU7-41P"
"583","ENSG00000169247","SH3TC2"
"584","ENSG00000206638","RNU6-672P"
"585","ENSG00000157181","C1orf27"
"586","ENSG00000200889","RNU4-13P"
"587","ENSG00000222724","RNU2-63P"
"588","ENSG00000201239",""
"589","ENSG00000089225","TBX5"
"590","ENSG00000264702",""
"591","ENSG00000247130",""
"592","ENSG00000168062","BATF2"
"593","ENSG00000212598",""
"594","ENSG00000222408",""
"595","ENSG00000199455","RNA5SP191"
"596","ENSG00000265420","MIR4779"
"597","ENSG00000199051","MIR361"
"598","ENSG00000249176",""
"599","ENSG00000264604",""
"600","ENSG00000263892","MIR4667"
"601","ENSG00000200941","RNU6-694P"
"602","ENSG00000230203",""
"603","ENSG00000241413","RN7SL441P"
"604","ENSG00000207275","RNU6-441P"
"605","ENSG00000272458","MIR432"
"606","ENSG00000223308","RN7SKP101"
"607","ENSG00000238575",""
"608","ENSG00000207507","RNU6-9"
"609","ENSG00000256347","OR8R1P"
"610","ENSG00000207417",""
"611","ENSG00000264551",""
"612","ENSG00000223191","RNU6-293P"
"613","ENSG00000221055","MIR1302-3"
"614","ENSG00000239984","RN7SL420P"
"615","ENSG00000259068","TRAV37"
"616","ENSG00000264749",""
"617","ENSG00000264182",""
"618","ENSG00000207244",""
"619","ENSG00000270722",""
"620","ENSG00000178078","STAP2"
"621","ENSG00000102385","DRP2"
"622","ENSG00000222610","RNU6-402P"
"623","ENSG00000266591",""
"624","ENSG00000263810",""
"625","ENSG00000259424",""
"626","ENSG00000221312",""
"627","ENSG00000252014",""
"628","ENSG00000239007","RNU7-95P"
"629","ENSG00000265573",""
"630","ENSG00000253029","RNU6-568P"
"631","ENSG00000221436","MIR548F3"
"632","ENSG00000200013","RNU6-623P"
"633","ENSG00000212498","SNORD86"
"634","ENSG00000249748",""
"635","ENSG00000263805",""
"636","ENSG00000222715","MIR1911"
"637","ENSG00000251744",""
"638","ENSG00000223215","RNU6-607P"
"639","ENSG00000207341","RNA5SP64"
"640","ENSG00000206997","RNU6-524P"
"641","ENSG00000223315","RN7SKP279"
"642","ENSG00000265950",""
"643","ENSG00000266688",""
"644","ENSG00000244033","RN7SL228P"
"645","ENSG00000207223",""
"646","ENSG00000234446",""
"647","ENSG00000212065",""
"648","ENSG00000207784","MIR542"
"649","ENSG00000201491","RNU4-75P"
"650","ENSG00000266564","MIR4418"
"651","ENSG00000207247",""
"652","ENSG00000207689","MIR548A2"
"653","ENSG00000207857",""
"654","ENSG00000263872",""
"655","ENSG00000207410",""
"656","ENSG00000207061",""
"657","ENSG00000239148",""
"658","ENSG00000197813",""
"659","ENSG00000212532",""
"660","ENSG00000265012",""
"661","ENSG00000206847",""
"662","ENSG00000222312","RNA5SP178"
"663","ENSG00000215957","MIR300"
"664","ENSG00000266287","MIR3683"
"665","ENSG00000207738","MIR520C"
"666","ENSG00000206820","RNU1-138P"
"667","ENSG00000207390",""
"668","ENSG00000241791","RN7SL817P"
"669","ENSG00000216136",""
"670","ENSG00000268157",""
"671","ENSG00000265249",""
"672","ENSG00000199442",""
"673","ENSG00000253065",""
"674","ENSG00000201607","RNU4-16P"
"675","ENSG00000211583","MIR767"
"676","ENSG00000202050","RNU6-391P"
"677","ENSG00000252400","RNU6-1291P"
"678","ENSG00000200318",""
"679","ENSG00000265699","MIR548AE2"
"680","ENSG00000227716",""
"681","ENSG00000207321","RNU6-160P"
"682","ENSG00000199629","RNU1-14P"
"683","ENSG00000239057","MIR500B"
"684","ENSG00000252658","RNU6-786P"
"685","ENSG00000263907",""
"686","ENSG00000134240","HMGCS2"
"687","ENSG00000263828","MIR4439"
"688","ENSG00000223076","RNA5SP31"
"689","ENSG00000202054","RNA5SP152"
"690","ENSG00000265319","RN7SL847P"
"691","ENSG00000202398","RNU6-61P"
"692","ENSG00000118620","ZNF430"
"693","ENSG00000265441",""
"694","ENSG00000207121","RNU6-1230P"
"695","ENSG00000221795","MIR1324"
"696","ENSG00000212529",""
"697","ENSG00000263669","RN7SL470P"
"698","ENSG00000266636",""
"699","ENSG00000252516","RNA5SP82"
"700","ENSG00000202187","RNA5SP355"
"701","ENSG00000221015","RNU6ATAC29P"
"702","ENSG00000252244","RNU7-3P"
"703","ENSG00000221771","MIR1205"
"704","ENSG00000201300","SNORD115-27"
"705","ENSG00000237923",""
"706","ENSG00000202502","RNA5SP151"
"707","ENSG00000221206","RNU6ATAC15P"
"708","ENSG00000207731","MIR506"
"709","ENSG00000265176","MIR3202-1"
"710","ENSG00000265176","MIR3202-2"
"711","ENSG00000250863",""
"712","ENSG00000263721","MIR4444-1"
"713","ENSG00000263721","MIR4444-2"
"714","ENSG00000221202",""
"715","ENSG00000165171","WBSCR27"
"716","ENSG00000201316",""
"717","ENSG00000252321","RN7SKP83"
"718","ENSG00000206808",""
"719","ENSG00000265155",""
