Supplementary Table 4. Expression changes between control and Cushing's subjects whose age are between 40 and 60 years old,,,,,,,,
,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc_symbol
4942,ENSG00000119912,182.5190209,0.386428803,0.144675839,2.670997491,0.007562621,0.841365048,IDE
6914,ENSG00000135046,5013.227068,0.413630166,0.155275865,2.663840678,0.007725414,0.841365048,ANXA1
12476,ENSG00000169744,544.0790253,0.314237631,0.118019385,2.66259335,0.007754106,0.841365048,LDB2
17552,ENSG00000205937,396.6294776,-0.297619562,0.111142488,-2.677819862,0.007410306,0.841365048,RNPS1
1116,ENSG00000070610,359.8547916,-0.305545649,0.114953261,-2.657998976,0.007860613,0.843229416,GBA2
2216,ENSG00000100239,355.0183178,-0.275075312,0.104974999,-2.620388802,0.008782957,0.865302727,PPP6R2
3579,ENSG00000108924,165.309,-0.468751946,0.178785141,-2.621873071,0.008744799,0.865302727,HLF
4070,ENSG00000112697,949.8152075,0.267465897,0.101600047,2.632537129,0.008474976,0.865302727,TMEM30A
4968,ENSG00000120063,350.1907237,0.305082282,0.115663649,2.637667799,0.008347831,0.865302727,GNA13
5293,ENSG00000123080,318.17062,-0.510173856,0.195108536,-2.614820793,0.008927428,0.865302727,CDKN2C
8651,ENSG00000145780,181.7830704,0.37383472,0.14285626,2.616859206,0.008874294,0.865302727,FEM1C
10627,ENSG00000162585,163.6124192,-0.39959721,0.153119689,-2.609704942,0.009062035,0.865302727,C1orf86
12586,ENSG00000170271,619.9215734,-0.285942674,0.109589,-2.609227875,0.009074679,0.865302727,FAXDC2
15537,ENSG00000186153,86.09108896,-0.464288777,0.176654244,-2.628234489,0.008582933,0.865302727,WWOX
16483,ENSG00000197045,380.2619957,0.388403702,0.147105474,2.640307601,0.008283081,0.865302727,GMFB
16607,ENSG00000197535,445.8196957,0.360197671,0.137913922,2.611757138,0.009007822,0.865302727,MYO5A
12583,ENSG00000170265,135.1266543,-0.364257024,0.140164773,-2.598777252,0.009355646,0.874428695,ZNF282
19292,ENSG00000242265,73.26357914,0.493300919,0.189724507,2.600090655,0.009319914,0.874428695,PEG10
2069,ENSG00000099194,8709.150936,0.436240251,0.168133368,2.594608415,0.009469874,0.876427574,SCD
11450,ENSG00000165478,234.1708432,-0.428198909,0.165254837,-2.591142964,0.009565774,0.876707863,HEPACAM
2884,ENSG00000104332,1113.435931,-0.485432369,0.188089241,-2.580861965,0.009855398,0.883373505,SFRP1
8048,ENSG00000141551,757.3888856,-0.232824718,0.09029001,-2.578632106,0.009919236,0.883373505,CSNK1D
10386,ENSG00000160691,925.8185907,-0.262052627,0.101466744,-2.582645464,0.009804602,0.883373505,SHC1
3543,ENSG00000108679,2103.870122,-0.327460506,0.127617053,-2.565961988,0.01028901,0.891084927,LGALS3BP
5525,ENSG00000124766,253.7161469,-0.445434671,0.17358328,-2.566115069,0.01028447,0.891084927,SOX4
9119,ENSG00000149531,63.54434568,-0.468343254,0.182268776,-2.569519933,0.010183953,0.891084927,FRG1B
10454,ENSG00000161202,641.276326,-0.278002616,0.108531295,-2.561497274,0.010422206,0.894414762,DVL3
1182,ENSG00000072274,395.7253247,0.47789764,0.187087941,2.554401081,0.010637065,0.900055912,TFRC
12434,ENSG00000169554,1235.573515,0.336968843,0.131987137,2.553043056,0.010678629,0.900055912,ZEB2
6390,ENSG00000131504,393.4471231,0.374221373,0.14683692,2.54855096,0.010817148,0.903662643,DIAPH1
71,ENSG00000004975,170.6107433,-0.355211659,0.14356116,-2.474288029,0.013350202,0.906220114,DVL2
655,ENSG00000049246,498.2558283,-0.473666075,0.189624085,-2.497921473,0.012492386,0.906220114,PER3
742,ENSG00000055147,132.9843403,0.333583631,0.135912072,2.454407657,0.01411169,0.906220114,FAM114A2
890,ENSG00000064666,447.0117797,-0.363390196,0.147033996,-2.471470591,0.013455862,0.906220114,CNN2
1274,ENSG00000074855,143.0759187,-0.395054573,0.159363868,-2.47894694,0.013177091,0.906220114,ANO8
2693,ENSG00000102858,326.345708,-0.33944714,0.137089567,-2.476097534,0.013282729,0.906220114,MGRN1
2949,ENSG00000104823,617.3996497,-0.274656207,0.108012993,-2.542807111,0.010996592,0.906220114,ECH1
3018,ENSG00000105137,228.5081427,-0.325017075,0.128968949,-2.520118826,0.011731522,0.906220114,SYDE1
3273,ENSG00000106351,112.2704246,-0.39839851,0.160545378,-2.481532098,0.013081893,0.906220114,AGFG2
3457,ENSG00000108010,186.134699,0.383317462,0.151183348,2.535447635,0.011230372,0.906220114,GLRX3
3650,ENSG00000109586,67.55263413,0.446508887,0.18159647,2.458797168,0.013940335,0.906220114,GALNT7
3717,ENSG00000110092,1409.736727,0.450111103,0.181140131,2.484877874,0.012959589,0.906220114,CCND1
3910,ENSG00000111716,2578.845508,0.385014947,0.156724841,2.456630013,0.014024704,0.906220114,LDHB
4387,ENSG00000115355,270.4883361,0.421979152,0.171739302,2.457091338,0.014006707,0.906220114,CCDC88A
