Supplementary Table 4a. Cushing's effect on gene expressions after controlling for BMI,,,,,,,,,,,,,,,,
,Row.names,baseMean,log2FoldChange.BMIxDisease,lfcSE.BMIxDisease,stat.BMIxDisease,pvalue.BMIxDisease,padj.BMIxDisease,log2FC_Obese_vs_notObese,lfcSE_Obese_vs_notObese,pvalue_Obese_vs_notObese,padj_Obese_vs_notObese,log2FC_Cushing_vs_Con,lfcSE_Cushing_vs_Con,pvalue_Cushing_vs_Con,padj_Cushing_vs_Con,external_gene_id
66,ENSG00000004866,137.8200599,-0.038478071,0.258382417,-0.148919077,0.881617488,0.972781933,-0.072717277,0.143833183,0.613160818,NA,-0.007024479,0.201588394,0.972202816,0.987948446,ST7
67,ENSG00000004897,369.5563072,-0.313260517,0.195641284,-1.601198432,0.109332976,0.504230863,0.274836401,0.10952052,0.012091892,0.202507311,0.37873804,0.151793067,0.012592361,0.098875216,CDC27
68,ENSG00000004939,1.551843088,-0.413128485,0.611493303,-0.675605903,0.499290893,NA,1.266748595,1.103014891,0.250786156,NA,-0.064828717,1.225109644,0.957798306,NA,SLC4A1
69,ENSG00000004948,4.784323039,-0.640330041,0.705354544,-0.907813024,0.363977016,NA,0.64277577,0.617175228,0.297652745,NA,-0.538061612,0.795511697,0.49880467,0.746788969,CALCR
70,ENSG00000004961,78.56161445,-0.297884616,0.251225962,-1.185723851,0.235731372,0.66792142,0.018882271,0.143036163,0.894976008,NA,0.42971452,0.195153828,0.027670452,0.160582032,HCCS
71,ENSG00000004975,157.6998494,-0.244139785,0.225754624,-1.081438688,0.27950202,0.712998018,-0.001918603,0.121305211,0.987380919,NA,-0.232686152,0.175284075,0.184349862,0.449379361,DVL2
72,ENSG00000005001,0.744628864,0.452731336,0.484421994,0.934580472,0.350004546,NA,-0.608810067,1.753249254,0.728405968,NA,2.206569761,1.783111078,0.215907798,NA,PRSS22
73,ENSG00000005007,549.0295398,0.096618055,0.151642363,0.637144218,0.524030908,0.851007401,-0.142077283,0.083065806,0.08718853,0.434700326,-0.128270549,0.117109072,0.273381553,0.548879029,UPF1
74,ENSG00000005020,400.5386574,-0.161421315,0.214075336,-0.75403976,0.450825348,0.814803409,0.131408314,0.119780996,0.272610148,0.630421982,0.203187324,0.166023439,0.221009869,0.492762714,SKAP2
75,ENSG00000005022,488.7138825,-0.019630117,0.20780741,-0.094463029,0.924741349,0.983337166,-0.231948153,0.116663096,0.046790915,0.345015771,0.245525675,0.160230151,0.125440701,0.36996795,SLC25A5
