Supplementary Table 4b. Cushing's effect on gene expression in Obese and Non-obese patients,,,,,,,,,,
,Row.names,log2FC_NotObese_CushingvCon,lfcSE_NotObese_CushingvCon,pvalue_NotObese_CushingvCon,padj_NotObese_CushingvCon,log2FC_Obese_CushingvCon,lfcSE_Obese_CushingvCon,pvalue_Obese_CushingvCon,padj_Obese_CushingvCon,external_gene_id
158,ENSG00000006747,-0.028283748,0.494637025,0.954401161,0.980208592,-0.369967719,0.44920116,0.410159734,0.914601749,SCIN
159,ENSG00000006756,0.438017029,0.242692171,0.071101986,0.256988729,0.156437209,0.208809948,0.453745917,0.925966482,ARSD
160,ENSG00000006757,0.593690751,0.29116868,0.041450777,0.188873428,0.020045311,0.250129226,0.936126052,0.990214142,PNPLA4
161,ENSG00000006788,-0.075692027,0.296531168,0.798523643,NA,0.099912761,0.34162109,0.769929888,NA,MYH13
162,ENSG00000006831,0.677274163,0.198402219,0.000641007,0.013789726,-0.082108902,0.169280081,0.627642558,0.960640446,ADIPOR2
163,ENSG00000006837,-0.822054053,0.551091925,0.13578246,NA,0.174216979,0.508104396,0.731691487,NA,CDKL3
164,ENSG00000007001,0.28989222,0.580359124,0.617423744,NA,0.153985988,0.590238996,0.794179249,NA,UPP2
165,ENSG00000007038,-0.476238502,0.428833499,0.266764646,NA,0.066740728,0.475995603,0.888491773,NA,PRSS21
166,ENSG00000007047,-0.092981653,0.171664276,0.588060855,0.790669502,0.006750656,0.144522588,0.962744329,0.99584351,MARK4
167,ENSG00000007062,-0.81273265,0.530710433,0.125669311,NA,-0.409467487,0.559225275,0.464043514,NA,PROM1
168,ENSG00000007080,0.046196949,0.207929291,0.824176684,0.920603877,0.154499558,0.175308628,0.378155267,0.90439758,CCDC124
169,ENSG00000007129,-0.867590341,0.577669907,0.133128344,NA,0.56660621,0.591320643,0.337959556,NA,CEACAM21
170,ENSG00000007168,0.254093966,0.083723891,0.002406123,0.03219199,0.002934566,0.069711674,0.966422358,0.996244045,PAFAH1B1
171,ENSG00000007171,-0.706131146,0.55388243,0.202353308,NA,-0.67479158,0.531990613,0.204645288,NA,NOS2
172,ENSG00000007174,-0.305687214,0.417757767,0.464331449,0.705352414,0.271310374,0.365955276,0.458465633,0.926083661,DNAH9
173,ENSG00000007202,0.587050028,0.127550032,4.17E-06,0.000387048,0.234055847,0.107805478,0.029924054,0.506409539,KIAA0100
174,ENSG00000007216,NA,NA,NA,NA,NA,NA,NA,NA,SLC13A2
175,ENSG00000007237,0.097762258,0.300002906,0.744521929,0.881861707,0.177509701,0.257858413,0.491200998,0.934027473,GAS7
176,ENSG00000007255,-0.213730579,0.298562447,0.474074353,0.713976749,-0.195426551,0.254487046,0.44253271,0.921992245,TRAPPC6A
177,ENSG00000007264,0.022518544,0.551093016,0.967406229,0.986121178,1.680273121,0.516121251,0.001131617,0.158020483,MATK
178,ENSG00000007306,NA,NA,NA,NA,NA,NA,NA,NA,CEACAM7
179,ENSG00000007312,-0.528171615,0.462508932,0.25346623,0.513130043,-0.038649719,0.404521248,0.923882467,0.989794156,CD79B
180,ENSG00000007314,-0.837380505,0.294413793,0.004451892,0.048015399,-0.549619214,0.254252764,0.030641,0.506511478,SCN4A
181,ENSG00000007341,-0.147567843,0.252675637,0.559206277,0.772720226,0.098012957,0.205268643,0.633015901,0.960640446,ST7L
182,ENSG00000007350,NA,NA,NA,NA,NA,NA,NA,NA,TKTL1
183,ENSG00000007372,0.015568183,0.402767219,0.969167004,NA,0.327300784,0.348784112,0.348036274,0.895340589,PAX6
184,ENSG00000007376,0.185391287,0.227111219,0.414327569,0.665919384,-0.096140852,0.192509118,0.617491038,0.959123125,RPUSD1
185,ENSG00000007384,0.050981947,0.217385635,0.814578923,0.915282151,-0.340023557,0.184606528,0.065492321,0.623706334,RHBDF1
186,ENSG00000007392,-0.326640384,0.203455015,0.108390992,0.327346068,-0.215201042,0.17155492,0.209691251,0.815346095,LUC7L
187,ENSG00000007402,-1.137066994,0.403358686,0.004817394,0.050411945,-0.107524653,0.318189935,0.735418951,0.968950879,CACNA2D2
188,ENSG00000007516,-0.250455257,0.234438931,0.285377233,0.545508174,-0.278222821,0.202048216,0.168508532,0.791964609,BAIAP3
189,ENSG00000007520,0.417778425,0.158063117,0.0082148,0.071529769,0.06791505,0.134559397,0.613754302,0.958184654,TSR3
190,ENSG00000007541,-0.031629136,0.169044601,0.851578094,0.934576953,-0.136178752,0.142569232,0.339488547,0.891529811,PIGQ
191,ENSG00000007545,-0.222202086,0.195803361,0.25644964,0.516222509,-0.140044172,0.163310541,0.391150407,0.90952204,CRAMP1L
192,ENSG00000007866,-0.491259014,0.300179389,0.101724228,0.315786007,-0.222907002,0.255476053,0.382926819,0.906833864,TEAD3
193,ENSG00000007908,-0.879088915,0.576120835,NA,NA,0.031110378,0.593792804,NA,NA,SELE
